data,Ticker,preco_fechamento,preco_maximo,preco_minimo,preco_abertura,volume
2020-08-17,AAPL,"111,48","112,92","110,85","112,9","119561600,0"
2020-08-17,GOOGL,"75,36","75,73","74,8","75,35","19990000,0"
2020-08-17,ITUB4.SA,"16,95","17,38","16,75","17,36","41571860,0"
2020-08-17,MGLU3.SA,"185,02","189,14","179,9","186,95","6299511,0"
2020-08-17,MSFT,"201,47","202,34","200,16","200,81","20184800,0"
2020-08-17,PETR4.SA,"6,85","6,92","6,71","6,87","52064300,0"
2020-08-18,AAPL,"112,41","112,84","110,9","111,23","105633600,0"
2020-08-18,GOOGL,"77,33","77,4","75,63","75,85","28378000,0"
2020-08-18,ITUB4.SA,"17,06","17,34","16,93","17,33","46170850,0"
2020-08-18,MGLU3.SA,"202,81","203,49","190,37","193,74","13677195,0"
2020-08-18,MSFT,"202,63","203,46","200,44","201,71","21336200,0"
2020-08-18,PETR4.SA,"6,97","7,04","6,9","6,95","49361300,0"
2020-08-19,AAPL,"112,55","113,97","112,46","112,82","145538000,0"
2020-08-19,GOOGL,"76,77","77,98","76,54","77,16","30472000,0"
2020-08-19,ITUB4.SA,"16,98","17,19","16,91","17,12","30195660,0"
2020-08-19,MGLU3.SA,"203,26","204,46","199,91","201,7","5850896,0"
2020-08-19,MSFT,"201,4","203,7","200,96","203,12","27627600,0"
2020-08-19,PETR4.SA,"6,93","7,07","6,89","6,95","51982100,0"
2020-08-20,AAPL,"115,05","115,16","112,58","112,59","126907200,0"
2020-08-20,GOOGL,"78,34","78,54","76,27","76,54","26382000,0"
2020-08-20,ITUB4.SA,"16,98","17,06","16,57","16,68","36590950,0"
2020-08-20,MGLU3.SA,"197,94","200,02","195,22","199,77","5854830,0"
2020-08-20,MSFT,"206,08","206,49","200,64","201,24","26981500,0"
2020-08-20,PETR4.SA,"6,89","6,93","6,77","6,82","55251700,0"
2020-08-21,AAPL,"120,98","121,46","116,0","116,01","338054800,0"
2020-08-21,GOOGL,"78,31","79,12","77,65","78,12","34838000,0"
2020-08-21,ITUB4.SA,"16,95","17,06","16,76","16,83","26123900,0"
2020-08-21,MGLU3.SA,"197,94","201,0","195,78","197,05","3530372,0"
2020-08-21,MSFT,"204,58","207,69","204,42","205,39","36249300,0"
2020-08-21,PETR4.SA,"6,83","6,86","6,77","6,83","38668300,0"
2020-08-24,AAPL,"122,42","125,27","120,56","125,19","345937600,0"
2020-08-24,GOOGL,"78,78","79,96","78,28","79,15","25638000,0"
2020-08-24,ITUB4.SA,"17,23","17,48","17,05","17,07","36793900,0"
